nam,track,dat,genre,imag
Butcher Babies,Lilith,2021-10-02 17:03:38.560,groove metal,https://i.scdn.co/image/ab67616d0000b2739c7b3129eac2238727993041
Metallica,"Broken, Beat & Scarred",2021-10-02 17:25:14.181,hard rock,https://i.scdn.co/image/ab67616d0000b273f5802466e1bc84cdf51d97e2
Metallica,The Day That Never Comes,2021-10-02 17:33:10.328,hard rock,https://i.scdn.co/image/ab67616d0000b273f5802466e1bc84cdf51d97e2
System Of A Down,Soldier Side - Intro,2021-10-02 17:35:54.465,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,B.Y.O.B.,2021-10-02 17:40:09.915,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,Revenga,2021-10-02 17:43:57.952,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,Cigaro,2021-10-02 17:46:09.557,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,Radio/Video,2021-10-02 17:50:18.748,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,This Cocaine Makes Me Feel Like I'm On This Song,2021-10-02 17:52:27.075,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,Violent Pornography,2021-10-02 17:55:58.239,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,Question!,2021-10-02 17:59:18.831,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
System Of A Down,Sad Statue,2021-10-02 18:02:44.626,alternative metal,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
Otoboke Beaver,Don't light my fire,2021-10-02 18:06:47.585,j-punk,https://i.scdn.co/image/ab67616d0000b2732c96d9855d5d448df661c4c8
Haken,Puzzle Box,2021-10-02 18:17:24.234,djent,https://i.scdn.co/image/ab67616d0000b273323b4aa0576a1bc3801c0bc3
Haken,Veil,2021-10-02 18:30:00.130,djent,https://i.scdn.co/image/ab67616d0000b273323b4aa0576a1bc3801c0bc3
Liquid Tension Experiment,Paradigm Shift,2021-10-02 18:45:21.961,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,Osmosis,2021-10-02 18:48:48.257,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,Kindred Spirits,2021-10-02 18:55:17.801,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,The Stretch,2021-10-02 18:57:18.704,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,Freedom Of Speech,2021-10-02 19:06:37.965,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,Chris And Kevin's Excellent Adventure,2021-10-02 19:08:59.865,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,State Of Grace,2021-10-02 19:14:01.702,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,Universal Mind,2021-10-02 19:21:54.862,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Liquid Tension Experiment,Three Minute Warning,2021-10-02 19:50:30.912,chapman stick,https://i.scdn.co/image/ab67616d0000b273b9e9300fa6ad779c7d58708a
Guthrie Govan,Wonderful Slippery Thing,2021-10-02 19:53:51.877,instrumental rock,https://i.scdn.co/image/ab67616d0000b273ec176bd330f9e9e87ab0a1e4
Destiny Potato,The Build Up,2021-10-02 19:56:37.494,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Indifferent,2021-10-02 20:00:17.575,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Take a Picture,2021-10-02 20:04:39.238,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Machine,2021-10-02 20:06:54.771,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Love Song,2021-10-02 20:11:51.927,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Lunatic,2021-10-02 20:15:57.711,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Walls of Thought,2021-10-02 20:20:09.871,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Blue Sun,2021-10-02 20:24:25.473,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,U.Y.M.,2021-10-02 20:28:52.859,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Lost Dream,2021-10-02 20:34:20.745,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,House of Lies,2021-10-02 20:38:20.566,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
Destiny Potato,Addict,2021-10-03 08:50:22.083,djent,https://i.scdn.co/image/ab67616d0000b273fd43d7b251936b0c693a0246
BIGYUKI,In a Spiral,2021-10-03 08:54:09.816,none,https://i.scdn.co/image/ab67616d0000b2738e7cb1bab669ceaf653fe021
Joomanji,Where Are You? (Love for JL) [feat. Copasetic & Lindsay Olsen],2021-10-03 08:58:29.312,indie jazz,https://i.scdn.co/image/ab67616d0000b273851467e066b7acf88f6fc05c
Jamiroquai,Cosmic Girl - Remastered,2021-10-03 09:02:27.498,dance pop,https://i.scdn.co/image/ab67616d0000b2736407aa9a5e5215cf554ad5d1
Jamiroquai,Virtual Insanity - Remastered,2021-10-03 09:06:16.246,dance pop,https://i.scdn.co/image/ab67616d0000b273a74a5b6bd1da601e629cf58f
Jamiroquai,Little L,2021-10-03 09:11:13.044,dance pop,https://i.scdn.co/image/ab67616d0000b273909ebb0c355f14d0ee7f9974
Jamiroquai,Cosmic Girl - Remastered,2021-10-03 09:22:24.382,dance pop,https://i.scdn.co/image/ab67616d0000b2736407aa9a5e5215cf554ad5d1
